country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio,continent,vaccination_rate,death_rate_per_million,country_avg_vaccination_rate,country_avg_death_rate,continent_avg_vaccination_rate,continent_avg_death_rate
Canada,CAN,2021-01-05,156519.0,156516.0,3.0,41,38179601.0,0.4099466623551147,North America,7.857599140441515e-06,1.073871882527007,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-06,184594.0,184152.0,442.0,209,38179601.0,0.4823308656368619,North America,0.001157686273358383,5.474127401174256,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-07,221693.0,220572.0,1121.0,159,38179601.0,0.5777221192018219,North America,0.002936122878811646,4.164527544434003,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-08,263506.0,261416.0,2090.0,136,38179601.0,0.6847007122992197,North America,0.005474127401174255,3.5621116103334867,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-09,299689.0,296654.0,3035.0,210,38179601.0,0.7769960718028457,North America,0.007949271130413332,5.500319398309061,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-10,323084.0,320037.0,3047.0,128,38179601.0,0.8382408187031603,North America,0.007980701526975099,3.352575633255046,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-11,361351.0,358297.0,3054.0,126,38179601.0,0.9384513997409244,North America,0.007999035924969462,3.300191638985436,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-12,391300.0,386991.0,4309.0,117,38179601.0,1.013606716319534,North America,0.011286131565387497,3.0644636647721906,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-13,422378.0,409143.0,13235.0,136,38179601.0,1.071627228372554,North America,0.034665108207914484,3.5621116103334867,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-14,463737.0,447920.0,15817.0,147,38179601.0,1.1731919356621878,North America,0.04142788186812115,3.850223578816342,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
Canada,CAN,2021-01-15,512751.0,493404.0,19347.0,150,38179601.0,1.292323615430135,North America,0.050673656856707334,3.9287995702207574,26.837734016394414,1.201189272573013,25.330161870977133,2.7121448645862953
